ID,Name,Description,Graphic,Movie Filename,Flags
128,,"As every schoolkid knows, Earth is the homeworld of the human race. It is also the capital of the Confederation.",-1,,0x0000
129,,Stardock Alpha is the Confederation Navy’s primary spacedock and ship refitting complex.,-1,,0x0000
130,,"Mars is the human race’s second-oldest colony world. It was first settled in the middle of the 21st century, and is now home to nearly a billion inhabitants.",-1,,0x0000
131,,Landfall was the first extrasolar planet settled by colony ships from Earth. Today it is a booming industrial world.,-1,,0x0000
132,,"Luna is Earth’s only moon. Terran Naval yards has its main shipyard facilities here, as Luna’s low gravity and near-perfect vacuum are ideal for heavy warship construction.",-1,,0x0000
133,,"Levo is an independent world that has resisted joining the Confederation. Anyone is welcome at the tiny but neutral Levo Spaceport, located on the island of Locanda in Levo’s southern ocean.",-1,,0x0000
134,,"New Britain is a populous island world, and one of the first worlds settled during the Great Expansion. Much of New Britain’s exports are food products, as its oceans are teeming with plant and animal life. ",-1,,0x0000
135,,"Capella is a lush, beautiful planet that attracts many tourists. Hundreds of Centauri Spacelines ships visit Capella each year.",-1,,0x0000
136,,Dune is a parched desert world. The few people who live on this planet say they do so for the solitude.,-1,,0x0000
137,,"Spica is a world shrouded by toxic clouds and a choking atmosphere. The uridium miners who work here have the highest fatality rate of any in the galaxy, as even a brief accidental exposure to Spica’s atmosphere is instantly fatal.",-1,,0x0000
138,,"Maxwell’s Purchase is a peaceful, independent world dedicated mainly to farming and some light manufacturing. The delicious junga root is grown primarily on  this planet.",-1,,0x0000
139,,Hodgson’s World is home to some of the best lobster in the galaxy.,-1,,0x0000
140,,"The nighttime sky of Northstar is truly a sight to behold. The luminescent rings that circle the planet carve a glimmering arc across the sky each night, providing a spectacular show for natives and visitors alike. ",-1,,0x0000
141,,"Master’s Planet is a strange world with few known inhabitants. The occasional visitor has been known to disappear on Master’s Planet, though so far no explanation has been found for these occurrances.",-1,,0x0000
142,,"Many of the inhabitants of Torgo Prime are carriers of the awful Torgo virus, which causes extreme swelling of the joints and degradation of the speech centers of the brain. In its later stages, the Torgo virus renders its victims incapable of functioning in normal society. No cure is known, so the relief ships keep coming here, delivering medical supplies to fight off the disease.",-1,,0x0000
143,,Sirius III - a gas giant.,-1,,0x0000
144,,"Sirius Station is the main operating base of the Sirius Cybernetics Corporation, makers of fine cybernetic products.",-1,,0x0000
145,,Tau Ceti IV was first visited by the colony ship Marathon.,-1,,0x0000
146,,"Merlin is the largest moon of Tau Ceti IV. Its size is sufficent to hold an atmosphere, and conditions on Merlin are quite Earthlike, save for the somewhat lower gravity. The inhabitants of Merlin hold human-powered air races several times a year.",-1,,0x0000
147,,"Tabletop is a planet almost completely devoid of trees. Raw timber and wood products fetch a high price in Tabletop’s commodity exchange. There is even a flourishing black market, which provides Tabletop’s residents with expensive, imported wood products.",-1,,0x0000
148,,Enyo’s World,-1,,0x0000
149,,The Enyo Orbital Fuel Refinery is one of the largest producers of processed fuel products in the galaxy. It makes fuel for everything from starships to ground vehicles. The boredom of life on a space station makes the refinery’s crew eager for diversion brought by visiting ships.,-1,,0x0000
150,,"New Sahara is a hot, dry, flat, and highly uninteresting planet. Its main feature is its resemblance to Earth’s Sahara desert. The planet has only a few nomadic inhabitants.",-1,,0x0000
151,,"Samson’s Planet is a grim and uninteresting ball of dirty ice. However, underneath the glaciers are large deposits of valuable metal ore.",-1,,0x0000
152,,"Plateau is a planet composed entirely of mesa-like islands. All the land is flat, and where it isn’t, it’s underwater. Plateau’s inhabitants live in isolated island communities, claiming they find life on this planet peaceful.",-1,,0x0000
153,,"The colony on Hikeeba was founded by a group of Japanese Haikebo experts intent on establishing a place free of distraction where they could teach martial arts. Pity it’s such a dump, though.",-1,,0x0000
154,,"New Providence is a peaceful world, founded long ago during the Great Expansion. During the Great War, the Confederation converted the once-agrarian colony into a huge mining operation, run by the Confederation-loyal Astex Mining Corporation.",-1,,0x0000
155,,"Due to the postwar rise in commercial traffic in the vicinity of the Antares system, the Confederation has constructed this small orbital garrison. It serves as a refuelling base for Confederation patrol ships, as well as a vanguard against possible Rebel incursions against the mines of New Providence.",-1,,0x0000
156,,"New Istanbul is a major source of prosthetic SynthFlesh and other medical goods, as Flood Medical Technologies has its main factory here.",-1,,0x0000
157,,"George’s World is perodically rocked by violent earthquakes, and a deep rumbling can be heard at all times, all over the planet. No one has yet postulated an explanation for this phenomenon, but settlers are reluctant to emigrate to George’s World until the mystery is solved.",-1,,0x0000
158,,P-8457 is a Marslike desert world with a thin atmosphere and low temperatures. It is uninhabited.,-1,,0x0000
159,,"Beeblebrox is a wild world, a world of wild parties and wild people. If you have two heads, three arms, and an ego problem, don’t travel to Beeblebrox; you will be laughed at and considered boring and unoriginal.",-1,,0x0000
160,,"Turin V is an arid, barren world, characterized by freezing temperatures and fierce winds. The colony ship Sojourner II was the first ship to reach this planet, and was forced to crash-land in the desert when its propulsion and life support systems were destroyed by a meteorite.",-1,,0x0000
161,,"Palshife is a beautiful world of rocky islands and gorgeous skies. It was one of the galaxy’s more popular vacation spots, before the Great War. Now, it is home to the Rebel High Command and the Rebellion’s main troop-training center and shipyard.",-1,,0x0000
162,,Alkaid,-1,,0x0000
163,,"Alkaidion is the second moon of Alkaid, and the only one capable of supporting life. Its businesses make a huge profit each year through the export of advanced quasiconductor devices constructed in the colony’s high-tech factories - a very valuable source of funds for the Rebellion. However, the moon’s soil has an extremely low concentration of nutrients, forcing the inhabitants of Alkaidion to import much of their food.",-1,,0x0000
164,,"Regulus II is a Confederation penal colony. Some of the most outspoken opponents of Confederation rule were shipped here after the Great War, and none have been heard from since.",-1,,0x0000
165,,Zaxted Starport is a bustling center of trade and commerce.,-1,,0x0000
166,,Zaxted,-1,,0x0000
167,,"Clotho Prime is often visited by Rebel warships, as the Rebellion maintains a repair and refuelling base on the surface of the planet.",-1,,0x0000
168,,"Clotho II is a dismal world, wreathed by perpetual storm clouds. The planet was colonized so that the Delahanty plant, a spicy delicacy that grows only on this world, could be harvested.",-1,,0x0000
169,,Orion,-1,,0x0000
170,,Hunter is home to the famous Orion Trouser Snake.,-1,,0x0000
171,,Atropos features some of the best hoverskiing in the galaxy. Just watch out for the perpetual avalanches.,-1,,0x0000
