ID,Name,AI Type,Govt,Flags,InfoTypes,Ship 1,Ship 2,Ship 3,Ship 4,Ship 5,Ship 6,Ship 7,Ship 8,Ship 9,Ship 10,Ship 11,Ship 12,Ship 13,Ship 14,Ship 15,Ship 16,Ship 1 %,Ship 2 %,Ship 3 %,Ship 4 %,Ship 5 %,Ship 6 %,Ship 7 %,Ship 8 %,Ship 9 %,Ship 10 %,Ship 11 %,Ship 12 %,Ship 13 %,Ship 14 %,Ship 15 %,Ship 16 %
128,Loser Confed Merchants,1,128,0x0081,0x0082,131,30,40,15,15,128,127,1000,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Confed Warships,3,135,0x0093,0x0085,134,35,25,30,10,128,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Rebels,3,141,0x008E,0x0090,144,35,15,25,25,129,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Beefy Confed Merchants,2,132,0x0081,0x0081,145,37,19,19,25,128,127,2000,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Militia Interceptors,4,138,0x008A,0x008A,146,25,25,25,25,133,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Ind. Beefy Merchants,2,131,0x0097,0x0084,145,15,20,55,10,-1,127,7000,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Pirates,3,132,0x0092,0x0097,143,40,15,40,5,130,127,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Cydonian Misc.,3,146,0x0084,0x008A,137,25,25,25,25,131,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Lethean Misc.,3,136,0x0084,0x008A,146,25,25,25,25,132,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Confed Interceptors,4,135,0x0087,0x0093,147,30,30,20,20,128,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Rebel Interceptors,4,144,0x0090,0x0090,144,25,25,25,25,129,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Rich Confed Dudes,1,139,0x008B,0x008C,140,25,25,25,25,128,72,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4 Liner - 1 ExecTrans,1,140,0x008C,0x008C,139,25,25,35,15,128,72,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Confed ExecTrans Only,1,139,0x008B,0x008B,139,25,25,25,25,128,72,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Confed Convoy Dude,1,129,0x0081,0x0081,129,25,25,25,25,128,127,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Confed PS & FRG,3,135,0x0087,0x0087,133,25,25,25,25,128,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Ind. Argosies,2,132,0x0084,0x0084,132,25,25,25,25,-1,127,7000,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Confed BFs,1,130,0x0082,0x0082,130,25,25,25,25,128,127,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Astex Freighters,1,130,0x0082,0x0082,130,25,25,25,25,135,18,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Astex Interceptors,4,135,0x0087,0x0087,135,25,25,25,25,135,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Rebel Fleet Assembly,4,141,0x008D,0x008E,142,25,25,25,25,129,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Confed PS Escorts,3,135,0x0087,0x0087,135,25,25,25,25,128,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Cydonian Invaders,4,146,0x0084,0x008A,137,25,25,25,25,131,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Lethean Invaders,4,136,0x0084,0x008A,146,25,25,25,25,132,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Bounty Hunters,3,136,0x0088,0x0089,137,25,25,25,25,137,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Rebel Cruiser Only,3,142,0x008E,0x008E,142,25,25,25,25,129,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Rebel BFs,1,130,0x0082,0x0082,130,25,25,25,25,129,127,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Defender Interceptors,4,138,0x008A,0x008A,138,25,25,25,25,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Rapier Interceptors,4,136,0x0088,0x0088,136,25,25,25,25,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Frigate Interceptors,4,133,0x0085,0x0085,133,25,25,25,25,128,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Destroyer Interceptors,4,141,0x008D,0x008D,141,25,25,25,25,129,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Pirate Corvettes,3,146,0x0092,0x0092,146,25,25,25,25,130,127,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Confed LFs,1,129,0x0081,0x0081,129,25,25,25,25,128,127,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Pirate Kestrels,3,143,0x008F,0x008F,143,25,25,25,25,130,127,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Pirate Fighters,3,136,0x0088,0x0089,137,25,25,25,25,130,127,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Confed ExecTrans,1,139,0x008B,0x008B,139,25,25,25,25,128,72,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Pirate Argosies,3,132,0x0084,0x0084,132,25,25,25,25,130,127,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
