ID,Name,Lead Ship,Ship 1,Ship 2,Ship 3,Ship 4,Min 1,Min 2,Min 3,Min 4,Max 1,Max 2,Max 3,Max 4,Govt,Link System,AppearOn,Hail Quote,Flags
128,Escorted Confed BF,130,135,135,135,135,1,0,0,0,3,0,0,0,128,10000,,0,0x0000
129,Small Confed Warfleet,133,135,135,135,135,2,0,0,0,4,0,0,0,128,-1,,0,0x0000
130,Large Confed Warfleet,134,133,135,135,135,1,2,0,0,2,4,0,0,128,-1,,0,0x0000
131,Small Rebel Warfleet,141,144,144,144,144,2,0,0,0,5,0,0,0,129,-1,,0,0x0000
132,Large Rebel Warfleet,142,141,144,144,144,2,2,0,0,3,5,0,0,129,-1,,0,0x0000
133,Large Pirate Fleet,146,136,136,137,137,2,0,2,0,3,0,3,0,130,20000,,0,0x0000
134,Escorted Confed BF,130,135,135,135,135,1,0,0,0,3,0,0,0,128,10000,,0,0x0000
135,Escorted Confed BF,130,135,135,135,135,1,0,0,0,3,0,0,0,128,10000,,0,0x0000
136,Small Rebel Warfleet,141,144,144,144,144,2,0,0,0,5,0,0,0,129,-1,,0,0x0000
137,Small Rebel Warfleet,141,144,144,144,144,2,0,0,0,5,0,0,0,129,-1,,0,0x0000
138,Small Confed Warfleet,133,135,135,135,135,2,0,0,0,4,0,0,0,128,-1,,0,0x0000
139,Small Confed Warfleet,133,135,135,135,135,2,0,0,0,4,0,0,0,128,-1,,0,0x0000
140,Small Pirate Fleet,136,137,137,137,137,1,0,0,0,2,0,0,0,130,20000,,0,0x0000
141,Small Trader Convoy,132,132,132,132,132,1,0,0,0,2,0,0,0,-1,-1,,0,0x0000
142,Large Trader Convoy,132,132,132,132,138,2,0,0,2,3,0,0,3,-1,-1,,0,0x0000
143,Escorted Confed ExT,139,135,135,135,135,2,0,0,0,2,0,0,0,128,10000,,0,0x0000
144,Small Pirate Fleet,132,138,138,138,138,1,0,0,0,4,0,0,0,130,20000,,0,0x0000
254,Small anti-escort fleet,138,138,18,138,138,0,0,0,0,2,0,0,0,130,-6,,0,0x0000
255,Big anti-escort fleet,136,138,137,138,138,1,0,0,0,2,2,0,0,130,-6,,0,0x0000
