ID,Name,Voice Type,Flags 1,Flags 2,Scan Fine,Crime Tolerance,Smuggle Penalty,Disable Penalty,Board Penalty,Kill Penalty,Shoot Penalty,Initial Record,Max Odds,Class 1,Class 2,Class 3,Class 4,Ally 1,Ally 2,Ally 3,Ally 4,Enemy 1,Enemy 2,Enemy 3,Enemy 4,Skill Multiplier,Scan Mask,Comm Name,Target Code,Require,Jamming 1,Jamming 2,Jamming 3,Jamming 4,Medium Name,Map Color,Ship Paint,Interface,News Pict
128,Confederation,1,0x6312,0xFFFF,129,50,3,5,10,25,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
129,Rebellion,0,0x6200,0xFFFF,128,75,0,0,10,25,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
130,Pirates,0,0xD311,0xFFFF,128,-20,0,3,5,10,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
131,Cydonian,0,0x4210,0xFFFF,132,100,3,5,10,20,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
132,Lethean,0,0x4210,0xFFFF,131,100,3,5,10,20,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
133,Militia,0,0x4312,0xFFFF,-1,60,5,10,15,20,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
134,Unexplored,0,0x0800,0xFFFF,-1,32767,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
135,Astex,1,0x6310,0x0080,129,50,3,5,10,25,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
136,Merchants,0,0x0000,0xFFFF,-1,32767,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
137,Mercenaries,0,0x0310,0xFFFF,130,60,5,10,15,20,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
138,Starbound Shipping,0,0x0000,0xFFFF,139,60,5,10,15,20,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
139,Consolidated Express,0,0x0000,0xFFFF,138,60,5,10,15,20,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
140,Aliens,0,0x0401,0xFFFF,-1,0,9999,9999,9999,9999,9999,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
141,Derelicts,-1,0x0C00,0xFFFF,-1,32000,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
142,United Galactic Express,0,0x0000,0xFFFF,139,100,3,5,10,15,20,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
143,Psycho Confederation,1,0x6314,0xFFFF,129,50,3,5,10,25,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
144,Escort Rebellion,0,0x6240,0xFFFF,128,75,0,0,10,25,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
145,Escort Confederation,1,0x6350,0xFFFF,129,50,3,5,10,25,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
146,Psycho Rebellion,0,0x6204,0xFFFF,128,75,0,0,10,25,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
147,Psycho ConEx,0,0x0024,0xFFFF,138,60,5,10,15,20,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
148,Psycho Astex,1,0x6314,0x0080,129,50,3,5,10,25,3,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
149,Traitor Confederation,1,0x6332,0x0081,-1,50,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
150,Psycho Aliens,0,0x0505,0xFFFF,-1,0,9999,9999,9999,9999,9999,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
152,Hunters,-1,0x0008,0xFFFF,130,9999,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
153,NoEP Rebellion,0,0x6300,0xFFFF,128,75,0,0,10,25,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,,,0x0000000000000000,0,0,0,0,,0x00000000,0x00000000,0,-1
