ID,Name,Low Stel 1,Low Stel 2,Low Stel 3,Low Stel 4,Low Stel 5,Low Stel 6,Low Stel 7,Low Stel 8,High Stel 1,High Stel 2,High Stel 3,High Stel 4,High Stel 5,High Stel 6,High Stel 7,High Stel 8,Base Price,Flags,Scan Mask,Lowercase Name,Status Bar Abbreviation,BuyOn,SellOn
128,Stembolts,174,129,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,0x0000,,,,
129,Keychains,130,187,8,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,0x0000,,,,
130,Seafood,134,163,40,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,0x0000,,,,
131,Root Extract,138,183,50,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,0x0000,,,,
132,Lobsters,139,188,80,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,0x0000,,,,
133,Viral Serum,156,142,680,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,0x0000,,,,
134,Workdroids,144,137,340,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,0x0000,,,,
135,Wood,205,147,270,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,0x0000,,,,
136,Magazines,233,149,10,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,0x0000,,,,
137,Camels,194,150,25,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,0x0000,,,,
138,Appetizers,168,159,150,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,0x0000,,,,
139,T-Shirts,175,229,15,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,0x0000,,,,
140,Seaweed,176,137,38,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,0x0000,,,,
141,Computers,210,181,45,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,0x0000,,,,
142,Bug Juice,189,207,20,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,0x0000,,,,
143,Parrots,198,-1,10,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,0x0000,,,,
144,Banderfrogs,208,146,42,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,0x0000,,,,
145,Grain,212,152,26,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,0x0000,,,,
146,Vegetables,214,150,17,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0x0000,0x0000,,,,
