ID,Name,Avail Stellar,Avail Location,Avail Record,Avail Rating,Avail Random,Travel Stellar,Return Stellar,Cargo Type,Cargo Quantity,Pickup Mode,Dropoff Mode,Scan Mask,Pay Value,Ship Count,Ship System,Ship Dude,Ship Goal,Ship Behaviour,Ship Name,Ship Start,Comp Govt,Comp Reward,Ship Subtitle,Brief Text,Quick Brief Text,Load Text,Drop Text,Comp Text,Fail Text,Time Limit,Can Abort,Ship Done Text,Aux Count,Aux Dude,Aux System,Flags 1,Flags 2,Refuse Text,Avail Ship,AvailableOn,OnAccept,OnRefuse,OnSuccess,OnFailure,OnAbort,Require,Date Increment,OnShipDone,Accept Button,Refuse Button,Display Weight
128,Ferry Passengers to <DST>,20002,0,0,-1,50,20002,-1,6,0,0,1,0xFFFF,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6000,-1,-1,7000,-1,-1,1,-1,-1,-1,0,0x0180,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
129,Ferry Passengers to <DST>,20002,0,0,-1,50,20002,-1,6,0,0,1,0xFFFF,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6000,-1,-1,7000,-1,-1,1,-1,-1,-1,0,0x0180,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
130,Ferry Passengers to <DST>,20002,0,0,-1,50,20002,-1,6,0,0,1,0xFFFF,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6000,-1,-1,7000,-1,-1,1,-1,-1,-1,0,0x0180,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
131,Transport Criminal,9999,1,0,100,8,10002,-1,7,0,0,1,0x0080,75000,-1,-1,-1,-1,-1,-1,-1,128,-15,-1,5001,6001,-1,-1,7001,-1,-1,1,-1,3,137,-1,0x0110,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
132,Smuggle Drugs,10002,1,0,50,10,20002,-1,8,-10,0,1,0x0080,100000,-1,-1,-1,-1,-1,-1,-1,130,10,-1,5004,6002,-1,-1,7002,-1,-1,1,-1,3,137,-1,0x0110,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
133,Prospecting Expedition,10000,1,1,-1,10,10006,-4,9,25,1,1,0xFFFF,35000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6005,9005,-1,7005,-1,-1,1,-1,4,134,-2,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
134,Gun Running,10000,1,-1,400,15,10002,-1,10,10,2,1,0x0080,250000,3,-1,142,2,9,10003,-1,129,50,-1,5006,6006,-1,-1,7006,-1,-1,1,-1,2,137,-1,0x0000,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
135,Rush Delivery to <DST>,20002,0,0,-1,50,20002,-1,1000,-10,0,1,0xFFFF,25000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6007,-1,-1,7007,-1,31,1,-1,-1,-1,0,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
136,Rush Delivery to <DST>,20002,0,0,-1,50,20002,-1,1000,-10,0,1,0xFFFF,25000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6007,-1,-1,7007,-1,31,1,-1,-1,-1,0,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
137,Rush Delivery to <DST>,20002,0,0,-1,50,20002,-1,1000,-10,0,1,0xFFFF,25000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6007,-1,-1,7007,-1,31,1,-1,-1,-1,0,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
138,Rush Delivery to <DST>,20002,0,0,-1,50,20002,-1,1000,-10,0,1,0xFFFF,25000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6007,-1,-1,7007,-1,31,1,-1,-1,-1,0,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
139,Rush Delivery to <DST>,20002,0,0,-1,50,20002,-1,1000,-10,0,1,0xFFFF,25000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6007,-1,-1,7007,-1,31,1,-1,-1,-1,0,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
140,Transport Cargo to <DST>,20002,0,0,-1,50,20002,-1,1000,-10,0,1,0xFFFF,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6008,-1,-1,7007,-1,-1,1,-1,-1,-1,0,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
141,Cargo Shipment to <DST>,20002,0,0,-1,50,20002,-1,1000,-10,0,1,0xFFFF,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6008,-1,-1,7007,-1,-1,1,-1,-1,-1,0,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
142,Cargo Delivery to <DST>,20002,0,0,-1,50,20002,-1,1000,-10,0,1,0xFFFF,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6008,-1,-1,7007,-1,-1,1,-1,-1,-1,0,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
143,Cargo Delivery to <DST>,20002,0,0,-1,50,20002,-1,1000,-10,0,1,0xFFFF,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6008,-1,-1,7007,-1,-1,1,-1,-1,-1,0,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
144,Freight Delivery to <DST>,20002,0,0,-1,50,20002,-1,1000,-10,0,1,0xFFFF,10000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6008,-1,-1,7007,-1,-1,1,-1,-1,-1,0,0x0100,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
145,Hunt Pirate,9999,1,0,200,8,-1,-4,-1,-1,-1,-1,0xFFFF,75000,1,-5,161,0,-1,10004,-1,-1,-1,-1,5017,6017,-1,-1,7017,-1,-1,1,-1,2,173,-1,0x0000,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
146,Assassination,20000,1,0,400,8,-1,-4,-1,-1,-1,-1,0xFFFF,75000,1,-4,163,0,9,10011,-1,129,15,-1,5018,6018,-1,-1,7018,-1,-1,1,-1,4,137,-3,0x0010,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
147,Stellar Defense,9999,1,0,250,10,-1,-4,-1,-1,-1,-1,0xFFFF,100000,5,-1,159,6,10,-1,-1,-1,-1,-1,-1,6019,-1,-1,7019,-1,-1,1,-1,-1,-1,0,0x0000,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
148,Rebel Defense,10001,1,0,350,10,-1,-4,-1,-1,-1,-1,0xFFFF,100000,5,-1,143,6,10,-1,-1,129,50,-1,-1,6020,-1,-1,7020,-1,-1,1,-1,-1,-1,0,0x0000,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
149,Rescue Mission,10000,1,1,-1,8,-1,-4,6,0,2,1,0xFFFF,50000,1,-5,141,5,-1,10000,-1,128,10,-1,5021,6021,-1,-1,7021,-1,31,1,-1,-1,-1,0,0x0080,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
150,Salvage Convoy,9999,1,-1,-1,3,-1,-4,11,5,2,1,0xFFFF,5000,6,-1,144,5,-1,-1,-1,-1,-1,-1,-1,6022,-1,-1,7022,-1,-1,1,-1,1,164,-3,0x0010,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
151,Escort Freighters to <RST>,9999,1,0,200,10,-1,9999,-1,-1,-1,-1,0xFFFF,20000,5,-6,191,3,11,-1,-1,-1,-1,-1,5023,6023,-1,-1,7023,-1,-1,1,-1,1,165,-1,0x0110,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
152,Investigate Dumping,176,1,1,-1,75,-1,-4,-1,-1,-1,-1,0xFFFF,0,1,149,146,4,9,-1,24,-1,-1,-1,5024,6024,-1,-1,7024,-1,-1,1,-1,-1,-1,0,0x1000,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
153,Observe Antares,176,1,0,-1,100,-1,-4,-1,-1,-1,-1,0xFFFF,0,2,139,147,4,0,10005,25,135,-50,-1,5025,6025,-1,-1,7025,-1,-1,1,-1,-1,-1,0,0x1000,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
154,Capture Ore Sample,176,1,0,-1,100,-1,-4,9,1,2,1,0xFFFF,0,1,149,146,2,9,-1,26,135,-10,-1,5026,6026,8026,-1,7026,-1,-1,1,-1,2,147,-1,0x1010,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
155,Destroy Freighters,176,1,0,-1,100,-1,-4,-1,-1,-1,-1,0xFFFF,0,5,149,146,0,9,-1,27,135,-10,-1,5027,6027,-1,-1,7027,-1,-1,1,-1,4,147,-3,0x1000,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
156,Escape Astex,176,1,0,-1,100,-1,156,12,0,0,0,0xFFFF,1000000,4,-6,189,-1,10,10005,28,135,-20,-1,5028,6028,-1,-1,7028,-1,-1,1,-1,4,189,-1,0x1110,0x0000,-1,-1,,,,,,,0x0000000000000000,0,,,,0
