ID,Name,Display Weight,Mass,Tech Level,Mod Type,Mod Value,Maximum,Flags,Cost,Mod Type 2,Mod Value 2,Mod Type 3,Mod Value 3,Mod Type 4,Mod Value 4,Contribute,Require,Availability,OnPurchase,OnSell,Outfitter Name,Lowercase Name,Lowercase Plural,Item Class,Scan Mask,Avail Random,Require Govt
128,Laser Cannon,-1,5,1,1,128,4,0x0001,5000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
129,Neutron Blaster,-1,35,4,1,129,4,0x0001,30000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
130,Proton Bolt Cannon,-1,8,2,1,130,5,0x0001,8500,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
131,Torpedo Launcher,-1,25,3,1,131,2,0x0000,20000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
132,Torpedo,-1,1,2,3,131,999,0x0000,2000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
133,Missile Rack,-1,10,3,1,132,2,0x0000,15000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
134,Missile,-1,1,2,3,132,999,0x0000,3500,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
135,Cargo Pod,-1,20,2,2,10,2,0x0000,7500,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
136,Laser Turret,-1,20,4,1,133,4,0x0002,20000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
137,Proton Turret,-1,30,5,1,134,4,0x0002,30000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
138,Fighter Bay,-1,50,4,1,146,1,0x0000,1000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
139,Hawk Light Fighter,-1,0,4,3,146,2,0x0000,250000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
140,Mass Expansion,-1,-10,3,2,-15,9999,0x0000,50000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
141,Confed Patrol Ship,66,0,5001,3,136,4,0x0000,700000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
142,Manta Light Fighter,61,0,5000,3,137,4,0x0000,180000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
143,Lightning Fighter-Bomber,-1,0,5,3,138,2,0x0000,1000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
144,Mass Driver,61,40,5000,1,135,4,0x0001,80000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
145,Shield Capacitor,-1,3,200,4,15,4,0x0000,90000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
146,Shield Booster,-1,2,200,5,-2,1,0x0000,125000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
147,Armaplast Plating,-1,5,2,6,100,1,0x0000,30000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
148,Durasteel Armor,-1,20,3,6,250,1,0x0000,90000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
149,Tritanium Armor,-1,40,200,6,500,1,0x0000,1000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
150,Thrust Enhancement,-1,0,300,7,150,1,0x0000,100000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
151,Engine Upgrade,-1,0,300,8,150,1,0x0000,150000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
152,RCS Upgrade,-1,0,300,9,1,1,0x0000,180000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
153,External Fuel Tank,-1,5,2,12,100,2,0x0000,1500,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
154,Escape Pod,-1,1,1,11,1,1,0x0000,5000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
155,Density Scanner,-1,0,3,13,0,1,0x0000,8000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
156,IFF Decoder,-1,0,4,14,0,1,0x0000,11000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
157,Afterburner,-1,5,1,15,0,1,0x0000,10000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
158,Missile Jammer,-1,0,400,10,0,1,0x0000,30000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
159,Rocket Launcher,-1,30,3,1,139,2,0x0000,20000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
160,Heavy Rocket,-1,2,2,3,139,999,0x0000,1000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
161,Bomb Rack,-1,30,500,1,140,2,0x0000,20000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
162,Space Bomb,-1,2,500,3,140,999,0x0000,15000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
163,Javelin Pod,-1,5,3,1,141,2,0x0000,20000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
164,Javelin Rocket,-1,0,2,3,141,999,0x0000,175,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
165,Regional Map,-1,0,2,16,2,999,0x0000,2500,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
166,Particle Beam,-1,0,9999,1,142,1,0x0004,1000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
167,Cloaking Device,-1,0,9999,17,1,1,0x0004,1000000,0,0,0,0,0,0,0x0000000000000000,0x0000000000000000,,,,,,,0,0x0000,0,-1
