ID,Name,Link System,Govt,AI Type,Aggression,Coward,Ship Type,Weapon 1,Weapon 2,Weapon 3,Weapon 4,Weap 1 Count,Weap 2 Count,Weap 3 Count,Weap 4 Count,Weap 1 Ammo,Weap 2 Ammo,Weap 3 Ammo,Weap 4 Ammo,Credits,Shield Mod,Hail Pict,Comm Quote,Hail Quote,Link Mission,Flags 1,ActiveOn,Grant Class,Grant Count,Grant Prob,Subtitle,Paint Color,Flags 2
128,Redbeard The Pirate,20000,130,3,4,25,132,132,133,134,131,1,-2,2,1,8,0,0,4,100000,250,-1,1,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
129,Greenbeard The Pirate,20000,130,3,4,25,132,132,133,134,131,1,-2,2,1,8,0,0,4,100000,250,-1,1,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
130,Bluebeard The Pirate,20000,130,3,4,25,132,132,146,131,0,1,1,1,0,8,2,4,0,100000,250,-1,1,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
131,Lars Magna,20000,130,3,4,50,137,-1,-1,-1,-1,0,0,0,0,0,0,0,0,100000,150,-1,2,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
132,Urdo Jafenaka,20000,130,3,4,50,136,-1,-1,-1,-1,0,0,0,0,0,0,0,0,100000,150,-1,2,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
133,Dilgar Thiamine,20000,130,3,4,50,136,-1,-1,-1,-1,0,0,0,0,0,0,0,0,100000,150,-1,3,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
134,Richard The Scourge,20000,130,3,4,75,137,131,128,130,-1,1,-4,4,0,4,0,0,0,100000,150,-1,3,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
135,Drake Headstone,20000,130,3,4,50,137,131,128,130,-1,1,-4,4,0,4,0,0,0,100000,150,-1,3,-1,-1,0x0003,,0,0,0,,0x00000000,0x0000
136,U.S.S. Saratoga,25001,128,3,2,30,134,145,-1,-1,-1,1,0,0,0,2,0,0,0,0,125,-1,-1,4,-1,0x000B,,0,0,0,,0x00000000,0x0000
137,U.S.S. Lexington,25001,128,3,2,30,134,145,-1,-1,-1,1,0,0,0,2,0,0,0,0,125,-1,-1,4,-1,0x000B,,0,0,0,,0x00000000,0x0000
138,U.S.S. Yorktown,25001,128,3,2,30,134,145,-1,-1,-1,1,0,0,0,2,0,0,0,0,125,-1,-1,3,-1,0x000B,,0,0,0,,0x00000000,0x0000
139,U.S.S. Constellation,25001,128,3,2,30,134,145,-1,-1,-1,1,0,0,0,2,0,0,0,0,125,-1,-1,4,-1,0x000B,,0,0,0,,0x00000000,0x0000
140,U.S.S. Constitution,25001,128,3,2,30,134,145,-1,-1,-1,1,0,0,0,2,0,0,0,0,125,-1,-1,3,-1,0x000B,,0,0,0,,0x00000000,0x0000
141,U.S.S. Excelsior,25001,128,3,2,30,134,145,-1,-1,-1,1,0,0,0,2,0,0,0,0,125,-1,-1,4,-1,0x000B,,0,0,0,,0x00000000,0x0000
142,U.S.S. Intrepid,25001,128,3,4,30,133,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,150,-1,6,3,-1,0x000B,,0,0,0,,0x00000000,0x0000
143,U.S.S. Exeter,25001,128,3,4,30,133,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,150,-1,-1,4,-1,0x000B,,0,0,0,,0x00000000,0x0000
144,U.S.S. Farragut,25001,128,3,4,30,133,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,150,-1,6,3,-1,0x000B,,0,0,0,,0x00000000,0x0000
145,U.S.S. Endeavour,25001,128,3,4,30,133,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,150,-1,-1,4,-1,0x000B,,0,0,0,,0x00000000,0x0000
146,U.S.S. Steadfast,25001,128,3,4,30,133,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,150,-1,6,3,-1,0x000B,,0,0,0,,0x00000000,0x0000
147,U.S.S. Reliant,25001,128,3,4,30,133,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,150,-1,-1,3,-1,0x000B,,0,0,0,,0x00000000,0x0000
148,U.S.S. Essex,25001,128,3,4,30,133,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,150,-1,6,4,-1,0x000B,,0,0,0,,0x00000000,0x0000
149,U.S.S. Ticonderoga,25001,128,3,4,30,133,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,150,-1,-1,3,-1,0x0008,,0,0,0,,0x00000000,0x0000
150,U.S.S. Furious,25001,128,3,4,30,133,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,150,-1,6,4,-1,0x0008,,0,0,0,,0x00000000,0x0000
151,U.S.S. Hercules,25001,128,3,4,30,133,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,150,-1,-1,3,-1,0x0008,,0,0,0,,0x00000000,0x0000
152,R.S.S. Avenger,25000,129,3,4,1,142,137,-1,-1,-1,0,0,0,0,2,0,0,0,0,150,-1,-1,5,-1,0x000C,,0,0,0,,0x00000000,0x0000
