ID,Name,Cargo Capacity,Shields,Acceleration,Speed,Turn Rate,Fuel,Free Space,Armor,Shield Recharge,Weapon 1,Weapon 2,Weapon 3,Weapon 4,Weap 1 Count,Weap 2 Count,Weap 3 Count,Weap 4 Count,Weap 1 Ammo,Weap 2 Ammo,Weap 3 Ammo,Weap 4 Ammo,Max Guns,Max Turrets,Tech Level,Cost,Death Delay,Armor Regen,Explode 1,Explode 2,Display Weight,Mass,Length,AI Type,Crew,Strength,Govt,Flags,Pod Count,Outfit 1,Outfit 2,Outfit 3,Outfit 4,Outf 1 Count,Outf 2 Count,Outf 3 Count,Outf 4 Count,Fuel Regen,Skill Variance,Flags 2,Contribute,Availability,AppearOn,OnPurchase,Deionize,Max Ionize,Key Carried,Outift 5,Outift 6,Outift 7,Outift 8,Outf 5 Count,Outf 6 Count,Outf 7 Count,Outf 8 Count,Require,Buy Random,Hire Random,OnCapture,OnRetire,Shipyard Name,Comm Name,Long Name,Movie File,Weapon 5,Weapon 6,Weapon 7,Weapon 8,Weap 5 Count,Weap 6 Count,Weap 7 Count,Weap 8 Count,Weap 5 Ammo,Weap 6 Ammo,Weap 7 Ammo,Weap 8 Ammo,Subtitle,Flags 4,Escort Upgrade,Upgrade Cost,Sell Value,Escort Type
128,Shuttlecraft,20,180,435,275,4,400,15,100,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,10000,45,0,0,0,0,30,8,1,1,-1,-1,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
129,Light Freighter,150,150,190,125,2,300,50,300,100,133,0,0,0,1,0,0,0,0,0,0,0,0,1,1,280000,60,8,8,8,8,200,50,1,19,-1,-1,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
130,Bulk Freighter,500,100,125,80,1,1000,150,250,240,133,0,0,0,1,0,0,0,0,0,0,0,0,1,9999,120000,120,28,28,28,28,800,250,1,32,-1,-1,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
131,Courier,50,150,310,250,4,800,30,250,30,133,0,0,0,1,0,0,0,0,0,0,0,2,1,1,180000,50,3,3,3,3,75,15,1,10,-1,-1,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
132,Argosy,130,350,250,200,3,400,60,400,95,133,0,0,0,2,0,0,0,0,0,0,0,3,2,3,750000,90,7,-7,7,-7,215,52,2,28,-1,-1,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
133,Confederate Frigate,50,2500,375,150,2,300,60,500,240,134,139,131,132,2,1,2,2,0,4,6,10,6,3,5001,5000000,120,10,-7,1,0,350,80,3,217,66,128,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
134,Confederate Cruiser,75,8000,190,150,1,400,100,1000,360,134,131,129,136,4,2,4,1,0,14,0,4,8,4,5001,20000000,180,5,-16,18,-29,1000,250,3,1029,66,128,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
135,Confed Patrol Ship,5,200,435,350,4,200,5,0,18,130,132,0,0,4,1,0,0,0,2,0,0,4,0,5001,700000,45,0,0,0,0,11,10,3,1,66,128,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
136,Rapier,15,350,435,300,4,400,20,150,22,130,143,131,139,4,1,1,1,-1,-1,6,6,4,1,3,1200000,59,-13,-13,-13,-13,15,12,3,2,-1,-1,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
137,Lightning,5,250,625,350,5,500,15,50,18,128,139,132,141,4,1,2,1,0,2,4,40,5,1,3,1000000,45,-10,-10,-10,-10,12,10,3,1,-1,-1,0x0000,0,-1,-1,-1,-1,0,0,0,0,0,0,0x0000,0x0000000000000000,,,,0,0,-1,-1,-1,-1,-1,0,0,0,0,0x0000000000000000,0,0,,,,,,,-1,-1,-1,-1,0,0,0,0,0,0,0,0,,0x0000,-1,0,0,-1
