ID,Name,Position X,Position Y,Graphic Type,Flags,Tribute,Tech Level,Tech 1,Tech 2,Tech 3,Govt,Min Status,Custom Pict,Custom Sound,Defense Dude,Defense Count,Flags 2,Anim Delay,Frame-0 Bias,Hyperlink 1,Hyperlink 2,Hyperlink 3,Hyperlink 4,Hyperlink 5,Hyperlink 6,Hyperlink 7,Hyperlink 8,OnDominate,OnRelease,Landing Fee,Gravity,Weapon,Strength,Dead Type,Dead Time,Explode Type,OnDestory,OnRegen,Tech 4,Tech 5,Tech 6,Tech 7,Tech 8
128,Earth,0,0,0,0x4414440F,129,5,-1,-1,-1,128,-3,-1,-1,157,32765,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
129,Stardock Alpha,-75,-75,26,0x4414441D,129,5,-1,-1,-1,128,-3,11000,-1,157,32765,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
130,Mars,-1010,1000,20,0x44144447,129,0,-1,-1,-1,128,-3,-1,-1,137,32765,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
131,Landfall,0,0,11,0x4202000F,130,4,-1,-1,-1,128,-3,-1,-1,157,2004,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
132,Luna,210,160,28,0x4414444F,129,0,5001,-1,-1,128,-3,10022,-1,137,32765,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
133,Levo,0,0,6,0x21201243,128,1,-1,-1,-1,-1,-32000,-1,-1,155,1324,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
134,New Britain,0,0,8,0x1214024F,136,3,-1,-1,-1,128,-3,-1,-1,137,1605,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
135,Capella,0,0,2,0x2124210F,137,2,-1,-1,-1,128,-3,-1,-1,137,1093,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
136,Dune,0,0,10,0x22202243,156,0,-1,-1,-1,-1,-50,-1,-1,155,1284,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
137,Spica,0,0,18,0x20401247,174,4,200,500,-1,129,-5,-1,10000,158,1284,0x0000,0,0,-1,-1,-1,-1,-1,-1,-1,-1,,,0,0,-1,0,-1,-1,-1,,,0,0,0,0,0
