ID,Name,x,y,link1,link2,link3,link4,link5,spob1,spob2,spob3,spob4,dude1,dude2,dude3,dude4,dudeProb1,dudeProb2,dudeProb3,dudeProb4,avgShips,govt,message,roids,interference,visbit
128,Levo,27,-58,136,137,165,164,-1,133,-1,-1,-1,128,133,133,132,20,40,20,20,4,-1,-1,2,0,-1
129,Sol,-1,-1,130,131,132,133,-1,128,129,132,130,128,129,137,139,60,40,10,10,5,128,-1,0,0,-1
130,Centauri,-15,-17,129,135,136,-1,-1,131,-1,-1,-1,128,129,137,139,60,40,10,10,1,128,-1,0,0,-1
131,Tau Ceti,-17,27,129,135,139,140,197,145,146,177,-1,128,129,137,139,60,40,10,10,3,128,-1,0,0,-1
132,Eridani,38,10,129,145,134,197,-1,147,-1,-1,-1,128,129,137,139,60,40,10,10,3,128,-1,0,0,-1
133,Barnard,24,-14,129,145,-1,-1,-1,150,-1,-1,-1,128,129,137,139,60,40,10,10,3,128,-1,0,0,-1
134,Vega,38,46,140,143,132,-1,-1,148,149,-1,-1,128,129,130,139,60,40,10,10,3,128,-1,0,0,-1
135,Sirius,-32,5,130,131,138,-1,-1,144,143,-1,-1,128,129,137,139,60,40,10,10,5,128,-1,0,0,-1
136,Rigel,6,-34,130,128,151,-1,-1,134,-1,-1,-1,128,129,137,139,60,40,10,10,3,128,-1,0,0,-1
137,Capella,37,-40,128,145,156,-1,-1,135,-1,-1,-1,128,129,130,140,35,30,5,30,3,128,-1,0,0,-1
138,Altair,-49,-15,144,135,150,-1,-1,-1,-1,-1,-1,133,134,129,130,50,40,5,5,3,-1,-1,0,0,-1
139,Antares,-36,40,149,131,146,-1,-1,154,155,-1,-1,146,129,130,139,60,40,10,10,4,128,-1,0,0,-1
140,Pollux,5,53,141,147,134,131,197,184,185,-1,-1,128,129,130,139,60,40,10,10,5,128,-1,0,0,-1
141,Castor,-21,64,140,171,159,-1,-1,-1,-1,-1,-1,133,134,129,130,50,10,20,20,3,-1,-1,2,0,-1
142,Deneb,53,63,147,148,-1,-1,-1,212,-1,-1,-1,133,134,129,130,50,10,20,20,3,-1,-1,0,0,-1
143,Regulus,62,31,134,148,152,-1,-1,164,175,-1,-1,128,129,130,139,60,40,10,10,3,128,-1,0,0,-1
144,Polaris,-31,-36,151,138,153,-1,-1,140,-1,-1,-1,128,129,130,139,60,40,10,10,5,128,-1,0,0,-1
145,Zebetrious,55,-21,137,133,132,152,156,-1,-1,-1,-1,133,134,129,130,50,10,20,20,4,-1,-1,7,0,-1
146,Mentos,-52,55,139,160,171,-1,-1,-1,-1,-1,-1,133,134,129,130,50,10,20,20,1,-1,-1,3,0,-1
147,Alcyon,30,73,140,142,175,173,193,-1,-1,-1,-1,133,134,129,130,50,10,20,20,4,-1,-1,0,0,-1
148,Tryvin,71,47,142,143,158,186,-1,-1,-1,-1,-1,133,134,138,130,20,10,30,40,5,129,-1,3,0,-1
149,Diphidia,-52,18,139,150,161,-1,-1,176,-1,-1,-1,128,129,130,139,60,40,10,10,3,-1,-1,0,0,-1
150,Zaxted,-70,0,138,149,161,-1,-1,166,165,-1,-1,128,129,130,139,60,40,10,10,2,-1,-1,0,0,-1
151,Matar,-8,-52,136,154,144,155,-1,139,-1,-1,-1,128,129,130,139,60,40,10,10,2,128,-1,0,0,-1
152,Pelagon,71,15,145,143,170,163,235,215,178,-1,-1,133,134,129,130,50,10,20,20,3,-1,-1,0,0,-1
153,Propus,-63,-32,144,162,167,-1,-1,172,173,174,-1,133,134,129,130,50,10,20,20,5,-1,-1,0,0,-1
154,Risa,-48,-56,151,162,168,-1,-1,-1,-1,-1,-1,133,134,129,130,50,10,20,20,1,-1,-1,0,0,-1
155,Yemuro,-15,-68,151,169,168,165,-1,156,-1,-1,-1,133,134,129,130,50,10,20,20,1,-1,-1,0,0,-1
156,Arrakis,64,-53,157,137,145,-1,-1,136,-1,-1,-1,133,134,129,130,50,10,20,20,3,-1,-1,0,0,-1
157,Nemesis,87,-37,156,180,195,235,-1,192,-1,-1,-1,133,130,129,134,60,30,10,10,1,129,-1,0,15,-1
158,Aries,80,74,148,193,-1,-1,-1,213,-1,-1,-1,133,135,136,134,20,40,30,20,4,131,-1,0,0,-1
159,Ursa,1,79,173,141,-1,-1,-1,188,-1,-1,-1,133,130,129,134,60,30,10,10,1,129,-1,0,0,-1
160,Sauron,-69,38,161,172,146,-1,-1,191,-1,-1,-1,133,134,129,130,50,10,20,20,3,-1,-1,0,0,-1
161,Farazon,-88,17,149,160,181,185,150,-1,-1,-1,-1,133,134,129,130,50,10,20,20,3,-1,-1,7,0,-1
162,Curzon,-74,-50,154,153,192,188,-1,-1,-1,-1,-1,133,134,129,130,50,40,5,5,2,-1,-1,3,0,-1
163,Jadzia,94,4,152,235,-1,-1,-1,193,-1,-1,-1,133,134,129,139,50,10,20,20,2,-1,-1,0,0,-1
164,Vulcan,48,-72,128,174,189,198,-1,-1,-1,-1,-1,133,134,129,130,50,10,20,20,4,-1,-1,3,0,-1
165,Kathoon,12,-80,128,174,155,-1,-1,138,-1,-1,-1,133,128,129,130,50,10,20,20,4,-1,-1,0,0,-1
166,Thanos,-38,78,176,-1,-1,-1,-1,186,187,-1,-1,133,130,129,134,60,30,10,10,4,129,-1,0,0,-1
167,Darven,-85,-17,153,185,191,-1,-1,182,183,-1,-1,133,134,129,130,20,40,20,20,5,-1,-1,4,0,-1
168,Zaphod,-49,-74,155,154,177,-1,-1,159,-1,-1,-1,133,130,129,134,50,30,10,10,3,129,-1,0,0,-1
169,Turin,-23,-86,155,187,178,-1,-1,160,-1,-1,-1,133,130,129,134,60,30,10,10,5,129,-1,0,0,-1
170,Sirgil,100,31,152,194,228,-1,-1,209,210,-1,-1,133,130,129,134,60,30,10,10,3,129,-1,0,0,-1
171,Tiber,-63,71,146,141,176,-1,-1,195,196,-1,-1,133,130,129,134,60,30,10,10,1,129,-1,0,0,-1
172,Canopus,-83,53,160,190,181,-1,-1,-1,-1,-1,-1,133,134,129,130,50,40,5,5,1,-1,-1,5,0,-1
173,Agena,-8,99,159,209,147,210,-1,199,-1,-1,-1,133,130,129,134,60,30,10,10,2,129,-1,0,0,-1
174,Spica,36,-93,165,164,224,-1,-1,137,-1,-1,-1,133,130,129,134,60,30,10,10,5,129,-1,0,0,-1
