ID,Name,Reload,Duration,Mass Damage,Energy Damage,Guidance,Speed,Ammo Type,Graphic,Inaccuracy,Sound Type,Impact,Explode Type,Prox Radius,Blast Radius,Flags 1,Seeker,Smoke Set,Decay,Particles,Part Speed,Part Min Life,Part Max Life,Part Color,Beam Length,Beam Width,Corona Falloff,Beam Color,Corona Color,Sub Count,Sub Type,Sub Theta,Sub Limit,Prox Safety,Flags 2,Ionization,Hit Particles,Hit Part Life,Hit Part Speed,Hit Part Color,Recoil,Exit Type,Burst Count,Burst Reload,Jam Vuln 1,Jam Vuln 2,Jam Vuln 3,Jam Vuln 4,Flags 3,Durability,Guided Turn,Max Ammo,Li Density,Li Amplitude,Ionize Color
128,Laser Cannon,20,30,2,10,-1,875,-1,0,1,0,0,0,0,0,0x0000,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
129,Neutron Blaster,30,50,10,30,-1,325,-1,1,2,1,0,0,0,0,0x0002,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
130,Proton Bolts,30,30,10,10,-1,850,-1,2,3,2,0,0,0,0,0x0000,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
131,Torpedos,100,800,150,75,1,600,3,3,0,3,100,1,3,8,0x0002,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
132,Missiles,100,175,100,50,2,850,4,4,0,4,30,1,3,5,0x0002,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
133,Laser Turret,10,26,0,10,4,875,-1,0,8,0,0,0,0,0,0x0000,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
134,Proton Turret,10,26,10,10,4,850,-1,2,6,2,0,0,0,0,0x0000,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
135,Mass Driver,25,80,30,0,-1,350,-1,5,1,5,0,0,0,0,0x0002,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
136,Patrol Ship Bay,125,30,-1,-1,99,200,135,-1,0,6,0,-1,0,0,0x0002,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
137,Manta Bay,15,50,-1,-1,99,100,144,-1,45,8,0,-1,0,0,0x0042,0x0000,0,0,0,0,0,0,0x00000000,0,0,0,0x00000000,0x00000000,0,-1,0,0,0,0x0000,0,0,0,0,0x00000000,0,0,0,0,0,0,0,0,0x0000,0,0,0,0,0,0x00000000
