ID,Name,Stellar,Commodity,Price Change,Duration,Frequency,ActivateOn
128,Confed intermediate news,-2,-1,0,45,0,
129,Rebel intermediate news,-2,-1,0,45,0,
130,Confed alien news,-2,-1,0,60,0,
131,Rebel alien news,-2,-1,0,60,0,
132,Astex news,-2,-1,0,45,0,
133,Unused,-2,-1,0,-1,0,
134,Unused,-2,-1,0,-1,0,
135,Unused,-2,-1,0,-1,0,
136,Unused,-2,-1,0,-1,0,
137,Unused,-2,-1,0,-1,0,
138,A wing-racing festival,146,0,100,7,2,
139,A fuel spill,149,1,400,7,2,
140,The discovery of a new ore deposit,151,4,-400,7,5,
141,A mining accident,154,2,400,7,3,
142,A newfound ore deposit,154,4,-400,7,3,
143,A patrol ship breakdown,155,5,200,5,2,
144,A large fire on a distant world,156,2,150,7,1,
145,An enormous party,159,3,200,14,5,
146,A new group of recruits,161,0,120,7,5,
147,A food shortage,163,0,400,28,2,
148,Increased demand,165,1,300,7,5,
149,Decreased demand,165,5,-200,7,5,
150,An increase in tourist arrivals,171,3,400,30,3,
151,A cultural festival,173,0,100,14,2,
152,A recession,174,1,-350,30,1,
153,A bumper crop of seaweed,176,0,-325,30,3,
154,A rockslide,177,2,170,7,3,
155,A religious feast,0,3,250,7,5,
156,Extreme crew boredom,187,3,180,14,5,
157,A manufacturing surplus,187,1,-500,14,5,
158,A manufacturing surplus,192,5,-500,14,5,
159,A communicable animal disease,194,2,400,30,1,
160,A volcanic eruption,199,2,300,30,1,
161,The banderfrog breeding season,208,3,-200,30,1,
162,A manufacturing surplus,209,1,-300,14,5,
163,Increased demand,209,1,150,7,5,
164,Decreased demand,209,5,-150,7,5,
165,A manufacturing surplus,210,1,-400,14,5,
166,Increased demand,210,1,200,7,5,
167,Decreased demand,210,5,-200,7,5,
168,A grain surplus,212,0,-300,14,5,
169,A Lethean air raid,213,2,500,5,10,
170,Cydonian orbital bombardment,214,2,500,5,10,
171,A new product line,144,1,150,14,3,
172,A parts shortage,129,5,300,5,5,
173,A dome pressurization accident,130,2,150,3,2,
174,A special sale,131,1,-100,7,5,
175,A new warship constuction order,132,5,100,5,5,
176,A record fish harvest,133,0,-300,14,3,
177,An increase in tourist visitations,135,3,400,30,3,
178,A mining accident,137,2,300,5,3,
179,The discovery of a new vein of uridium,137,4,-325,14,2,
